optimizer,hyperparameters,criterion,crt_parameter,top-1 test acc,overfitting indicator,l1,l5,l1/l5,fwp_overhead,bwp_overhead,images/s,runtime,max_allocated_memory,max_reserved_memory,epochs,exclusive_run
vassoremu-sgd,lr=0.05;rho=0.1;theta=0.4;lam=0.2;z=1.5;,gSAMflat,z=1.5,96.35,0.0636,22.1891,38.7135,0.5732,1.055,1.055,2737.41,68.93,,,200,False
vassoremu-sgd,lr=0.05;rho=0.1;theta=0.4;lam=0.1;z=1.15;,gSAMflat,z=1.15,96.62,0.0476,23.009,38.9646,0.5905,1.2426,1.2426,2542.28,75.35,,,200,False
vassoremu-sgd,lr=0.05;rho=0.1;theta=0.4;lam=0.2;z=1.15;,gSAMflat,z=1.15,96.43,0.0463,23.275,39.1265,0.5949,1.2503,1.2503,2545.23,75.65,,,200,False
vassoremu-sgd,lr=0.05;rho=0.1;theta=0.4;lam=0.1;z=1.5;,gSAMflat,z=1.5,96.42,0.0585,23.6526,42.7477,0.5533,1.0525,1.0525,2638.62,69.98,,,200,False
vassoremu-sgd,lr=0.05;rho=0.1;theta=0.4;lam=0.9;z=1.1;,gSAMflat,z=1.1,96.64,0.0331,23.6505,45.8329,0.516,1.3839,1.3839,2248.99,86.06,,,200,False
vassoremu-sgd,lr=0.05;rho=0.1;theta=0.4;lam=0.9;z=1.5;,gSAMflat,z=1.5,96.35,0.0596,21.2594,36.4612,0.5831,1.0758,1.0758,2750.54,67.85,,,200,False
vassoremu-sgd,lr=0.05;rho=0.1;theta=0.4;lam=0.1;z=1.2;,gSAMflat,z=1.2,96.63,0.041,23.8661,41.1042,0.5806,1.1797,1.1797,2628.43,72.4,,,200,False
vassoremu-sgd,lr=0.05;rho=0.1;theta=0.4;lam=0.2;z=1.15;,gSAMflat,z=1.15,96.53,0.0425,22.8832,42.5225,0.5381,1.2496,1.2496,2528.09,75.96,,,200,False
vassoremu-sgd,lr=0.05;rho=0.1;theta=0.4;lam=0.9;z=1.2;,gSAMflat,z=1.2,96.53,0.0399,22.5184,38.3792,0.5867,1.255,1.255,2504.99,76.57,,,200,False
vassoremu-sgd,lr=0.05;rho=0.1;theta=0.4;lam=0.9;z=1.1;,gSAMflat,z=1.1,96.69,0.0363,22.072,38.7804,0.5692,1.3806,1.3806,2406.23,80.62,,,200,False
vassoremu-sgd,lr=0.05;rho=0.1;theta=0.4;lam=0.2;z=1.2;,gSAMflat,z=1.2,96.45,0.0486,22.0603,42.0857,0.5242,1.1881,1.1881,2623.72,72.73,,,200,False
vassoremu-sgd,lr=0.05;rho=0.1;theta=0.4;lam=0.9;z=1.15;,gSAMflat,z=1.15,96.67,0.037,25.2526,38.6526,0.6533,1.3156,1.3156,2413.43,80.0,,,200,False
vassoremu-sgd,lr=0.05;rho=0.1;theta=0.4;lam=0.1;z=1.15;,gSAMflat,z=1.15,96.46,0.0433,23.1939,41.3312,0.5612,1.2433,1.2433,2528.37,76.17,,,200,False
vassoremu-sgd,lr=0.05;rho=0.1;theta=0.4;lam=0.1;z=1.15;,gSAMsharp,z=1.15,96.62,0.043,24.9085,43.3935,0.574,1.2041,1.2041,2560.85,74.46,,,200,False
vassoremu-sgd,lr=0.05;rho=0.1;theta=0.4;lam=0.9;z=1.2;,gSAMflat,z=1.2,96.58,0.0417,22.0617,38.2487,0.5768,1.2525,1.2525,2518.32,76.09,,,200,False
vassoremu-sgd,lr=0.05;rho=0.1;theta=0.4;lam=0.1;z=1.5;,gSAMsharp,z=1.5,96.47,0.0708,23.5226,44.0983,0.5334,1.0252,1.0252,2774.97,66.09,,,200,False
vassoremu-sgd,lr=0.05;rho=0.1;theta=0.4;lam=0.9;z=1.1;,gSAMflat,z=1.1,96.51,0.0389,22.5768,41.7438,0.5408,1.3832,1.3832,2362.83,82.26,,,200,False
vassoremu-sgd,lr=0.05;rho=0.1;theta=0.4;lam=0.1;z=1.1;,gSAMflat,z=1.1,96.6,0.0374,21.8362,38.7113,0.5641,1.3247,1.3247,2336.82,82.38,,,200,False
vassoremu-sgd,lr=0.05;rho=0.1;theta=0.4;lam=0.9;z=1.15;,gSAMflat,z=1.15,96.44,0.0418,22.2482,38.5771,0.5767,1.3155,1.3155,2433.25,79.24,,,200,False
vassoremu-sgd,lr=0.05;rho=0.1;theta=0.4;lam=0.1;z=1.1;,gSAMsharp,z=1.1,96.6,0.0416,24.7914,42.8664,0.5783,1.2817,1.2817,2427.06,79.01,,,200,False
vassoremu-sgd,lr=0.05;rho=0.1;theta=0.4;lam=0.2;z=1.1;,gSAMflat,z=1.1,96.57,0.0368,21.4377,38.3917,0.5584,1.3312,1.3312,2424.44,79.64,,,200,False
vassoremu-sgd,lr=0.05;rho=0.1;theta=0.4;lam=0.1;z=1.2;,gSAMsharp,z=1.2,96.65,0.0491,23.0484,38.3998,0.6002,1.1436,1.1436,2654.38,71.02,,,200,False
vassoremu-sgd,lr=0.05;rho=0.1;theta=0.4;lam=0.2;z=1.1;,gSAMflat,z=1.1,96.66,0.045,22.2693,39.0447,0.5704,1.3291,1.3291,2042.43,96.4,,,200,False
vassoremu-sgd,lr=0.05;rho=0.1;theta=0.4;lam=0.2;z=1.5;,gSAMsharp,z=1.5,96.44,0.0711,26.6148,44.5108,0.5979,1.0273,1.0273,2750.1,66.7,,,200,False
vassoremu-sgd,lr=0.05;rho=0.1;theta=0.4;lam=0.2;z=1.2;,gSAMsharp,z=1.2,96.57,0.0445,23.7367,40.3641,0.5881,1.1469,1.1469,2650.3,71.13,,,200,False
vassoremu-sgd,lr=0.05;rho=0.1;theta=0.4;lam=0.1;z=1.5;,gSAMsharp,z=1.5,96.4,0.0755,27.5397,44.4918,0.619,1.0255,1.0255,2822.63,65.17,,,200,False
vassoremu-sgd,lr=0.05;rho=0.1;theta=0.4;lam=0.2;z=1.1;,gSAMsharp,z=1.1,96.59,0.0403,23.5177,40.9865,0.5738,1.2872,1.2872,2510.59,76.69,,,200,False
vassoremu-sgd,lr=0.05;rho=0.1;theta=0.4;lam=0.2;z=1.15;,gSAMsharp,z=1.15,96.63,0.0425,23.7765,39.8599,0.5965,1.2074,1.2074,2590.47,73.62,,,200,False
vassoremu-sgd,lr=0.05;rho=0.1;theta=0.4;lam=0.9;z=1.5;,gSAMsharp,z=1.5,96.46,0.0586,23.6487,42.409,0.5576,1.0576,1.0576,2773.54,66.71,,,200,False
vassoremu-sgd,lr=0.05;rho=0.1;theta=0.4;lam=0.2;z=1.5;,gSAMsharp,z=1.5,96.22,0.072,25.5961,44.5303,0.5748,1.0291,1.0291,2783.99,66.02,,,200,False
vassoremu-sgd,lr=0.05;rho=0.1;theta=0.4;lam=0.1;z=1.15;,gSAMsharp,z=1.15,96.52,0.0441,24.3994,41.4578,0.5885,1.2058,1.2058,2560.28,74.38,,,200,False
vassoremu-sgd,lr=0.05;rho=0.1;theta=0.4;lam=0.1;z=1.5;,gSAMsharp,z=1.5,96.18,0.0731,26.6108,46.6674,0.5702,1.0248,1.0248,2823.33,65.19,,,200,False
vassoremu-sgd,lr=0.05;rho=0.1;theta=0.4;lam=0.9;z=1.5;,gSAMsharp,z=1.5,96.39,0.0563,23.5539,39.7836,0.5921,1.0588,1.0588,2787.36,66.82,,,200,False
vassoremu-sgd,lr=0.05;rho=0.1;theta=0.4;lam=0.1;z=1.1;,gSAMsharp,z=1.1,96.54,0.0412,21.936,36.2798,0.6046,1.2849,1.2849,2493.99,77.16,,,200,False
vassoremu-sgd,lr=0.05;rho=0.1;theta=0.4;lam=0.9;z=1.2;,gSAMsharp,z=1.2,96.51,0.0414,24.1905,42.2749,0.5722,1.1989,1.1989,2550.02,74.48,,,200,False
vassoremu-sgd,lr=0.05;rho=0.1;theta=0.4;lam=0.1;z=1.2;,gSAMsharp,z=1.2,96.47,0.0484,24.291,45.4185,0.5348,1.1415,1.1415,2669.23,70.92,,,200,False
vassoremu-sgd,lr=0.05;rho=0.1;theta=0.4;lam=0.1;z=1.2;,gSAMsharp,z=1.2,96.5,0.0466,22.2954,41.1645,0.5416,1.1457,1.1457,2481.2,75.89,,,200,False
vassoremu-sgd,lr=0.05;rho=0.1;theta=0.4;lam=0.2;z=1.2;,gSAMsharp,z=1.2,96.35,0.0486,25.4166,41.2745,0.6158,1.1484,1.1484,2616.55,74.31,,,200,False
vassoremu-sgd,lr=0.05;rho=0.1;theta=0.4;lam=0.2;z=1.1;,gSAMsharp,z=1.1,96.65,0.036,22.4992,37.4166,0.6013,1.2893,1.2893,2501.41,76.99,,,200,False
vassoremu-sgd,lr=0.05;rho=0.1;theta=0.4;lam=0.2;z=1.5;,gSAMsharp,z=1.5,96.07,0.0765,25.3564,43.2852,0.5858,1.0284,1.0284,2803.59,65.53,,,200,False
vassoremu-sgd,lr=0.05;rho=0.1;theta=0.4;lam=0.9;z=1.2;,gSAMsharp,z=1.2,96.5,0.0411,23.6134,37.9803,0.6217,1.2033,1.2033,2628.49,72.57,,,200,False
vassoremu-sgd,lr=0.05;rho=0.1;theta=0.4;lam=0.2;z=1.15;,gSAMsharp,z=1.15,96.58,0.0445,23.1487,39.1745,0.5909,1.2091,1.2091,2465.91,77.31,,,200,False
vassoremu-sgd,lr=0.05;rho=0.1;theta=0.4;lam=0.1;z=1.15;,gSAMsharp,z=1.15,96.41,0.0486,23.0478,44.2234,0.5212,1.2045,1.2045,2599.47,73.41,,,200,False
vassoremu-sgd,lr=0.05;rho=0.1;theta=0.4;lam=0.9;z=1.15;,gSAMsharp,z=1.15,96.59,0.0397,23.2195,39.5266,0.5874,1.2609,1.2609,2499.78,76.83,,,200,False
vassoremu-sgd,lr=0.05;rho=0.1;theta=0.4;lam=0.9;z=1.1;,gSAMsharp,z=1.1,96.43,0.0416,24.2734,39.5971,0.613,1.3283,1.3283,2271.66,84.83,,,200,False
vassoremu-sgd,lr=0.05;rho=0.1;theta=0.4;lam=0.1;z=1.1;,gSAMsharp,z=1.1,96.58,0.0368,22.9612,43.1904,0.5316,1.2846,1.2846,2447.42,78.36,,,200,False
vassoremu-sgd,lr=0.05;rho=0.1;theta=0.4;lam=0.2;z=1.2;,gSAMsharp,z=1.2,96.48,0.0523,25.0365,45.9284,0.5451,1.1492,1.1492,2580.19,73.08,,,200,False
vassoremu-sgd,lr=0.05;rho=0.1;theta=0.4;lam=0.9;z=1.2;,gSAMsharp,z=1.2,96.44,0.0442,24.269,43.6371,0.5562,1.2021,1.2021,2590.87,73.49,,,200,False
vassoremu-sgd,lr=0.05;rho=0.1;theta=0.4;lam=0.9;z=1.1;,gSAMsharp,z=1.1,96.5,0.0385,21.6841,36.5174,0.5938,1.3313,1.3313,2449.27,78.99,,,200,False
vassoremu-sgd,lr=0.05;rho=0.1;theta=0.4;lam=0.2;z=1.15;,gSAMsharp,z=1.15,96.53,0.0459,24.1271,43.8575,0.5501,1.2106,1.2106,2486.31,76.57,,,200,False
vassoremu-sgd,lr=0.05;rho=0.1;theta=0.4;lam=0.2;z=1.1;,gSAMsharp,z=1.1,96.55,0.0462,23.1345,42.5756,0.5434,1.289,1.289,2435.17,79.03,,,200,False
vassoremu-sgd,lr=0.05;rho=0.1;theta=0.4;lam=0.9;z=1.15;,gSAMsharp,z=1.15,96.68,0.0354,25.1625,43.0962,0.5839,1.2589,1.2589,2501.08,76.95,,,200,False
vassoremu-sgd,lr=0.05;rho=0.1;theta=0.4;lam=0.9;z=1.5;,gSAMsharp,z=1.5,96.36,0.0608,23.9144,45.3983,0.5268,1.0578,1.0578,2769.5,66.74,,,200,False
vassoremu-sgd,lr=0.05;rho=0.1;theta=0.4;lam=0.9;z=1.1;,gSAMsharp,z=1.1,96.56,0.0305,25.3704,43.1808,0.5875,1.3299,1.3299,2379.24,80.98,,,200,False
vassoremu-sgd,lr=0.05;rho=0.1;theta=0.4;lam=0.9;z=1.15;,gSAMsharp,z=1.15,96.63,0.0442,25.1361,42.0329,0.598,1.2575,1.2575,1986.78,96.54,,,200,False
vassoremu-sgd,lr=0.05;rho=0.1;theta=0.4;lam=0.1;z=1.5;,gSAMsharp,z=1.5,96.26,0.0742,24.5723,43.0462,0.5708,1.0247,1.0247,2808.17,65.35,,,200,False
vassoremu-sgd,lr=0.05;rho=0.1;theta=0.4;lam=0.1;z=1.1;,gSAMsharp,z=1.1,96.56,0.0405,24.1202,42.1507,0.5722,1.2843,1.2843,2487.82,77.22,,,200,False
vassoremu-sgd,lr=0.05;rho=0.1;theta=0.4;lam=0.1;z=1.2;,gSAMsharp,z=1.2,96.58,0.0471,23.5575,37.2552,0.6323,1.1428,1.1428,2669.92,70.67,,,200,False
vassoremu-sgd,lr=0.05;rho=0.1;theta=0.4;lam=0.1;z=1.15;,gSAMsharp,z=1.15,96.43,0.0453,22.6314,40.0724,0.5648,1.2048,1.2048,2584.43,73.51,,,200,False
vassoremu-sgd,lr=0.05;rho=0.1;theta=0.4;lam=0.2;z=1.5;,gSAMsharp,z=1.5,96.07,0.0756,25.4417,45.096,0.5642,1.027,1.027,2791.06,65.67,,,200,False
vassoremu-sgd,lr=0.05;rho=0.1;theta=0.4;lam=0.2;z=1.15;,gSAMsharp,z=1.15,96.58,0.0389,23.038,40.8561,0.5639,1.2101,1.2101,2586.78,73.71,,,200,False
vassoremu-sgd,lr=0.05;rho=0.1;theta=0.4;lam=0.9;z=1.5;,gSAMsharp,z=1.5,96.38,0.0601,25.0784,41.2583,0.6078,1.0584,1.0584,2769.58,66.86,,,200,False
vassoremu-sgd,lr=0.05;rho=0.1;theta=0.4;lam=0.1;z=1.5;,gSAMsharp,z=1.5,96.44,0.0721,27.2024,41.7546,0.6515,1.0255,1.0255,2640.08,69.52,,,200,False
vassoremu-sgd,lr=0.05;rho=0.1;theta=0.4;lam=0.2;z=1.1;,gSAMsharp,z=1.1,96.69,0.036,24.9737,38.3326,0.6515,1.2893,1.2893,2401.58,80.21,,,200,False
vassoremu-sgd,lr=0.05;rho=0.1;theta=0.4;lam=0.9;z=1.2;,gSAMsharp,z=1.2,96.61,0.0398,24.5319,37.7541,0.6498,1.202,1.202,2585.99,73.63,,,200,False
vassoremu-sgd,lr=0.05;rho=0.1;theta=0.4;lam=0.9;z=1.5;,gSAMsharp,z=1.5,96.53,0.0587,23.7417,43.494,0.5459,1.0592,1.0592,2799.79,66.23,,,200,False
